	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
12	14%	Judean Hills, Israel	750 ml	Red	4/1/2018	4990 Reserve	Allied Importers, USA, Ltd	$25,  Buy Now	Cabernet Sauvignon	Jerusalem Wineries	This wine offers a bouquet of cherry, raspberry and coffee bean. Flavors of black cherry, raspberry and coffee bean wrapped in subtle tannins are followed by a vein of eucalyptus that continues into the cool, minty finish.	90	13	Mike DeSimone	Jerusalem Wineries 2014 4990 Reserve Cabernet Sauvignon (Judean Hills)	https://www.winemag.com/buying-guide/jerusalem-wineries-2014-4990-reserve-cabernet-sauvignon-judean-hills/
13	13.8%	Knights Valley, Sonoma, California, US	750 ml	Red	4/1/2018	Blau Vineyard		$55,  Buy Now	Malbec	Judge Palmer	Plummy blueberry, black cherry and black currant wrap around a softly layered core of toasted oak in this light and delicate take on the oft-hearty variety. Smatterings of vanilla and dark chocolate tease on the finish.	90	14	Virginie Boone	Judge Palmer 2014 Blau Vineyard Malbec (Knights Valley)	https://www.winemag.com/buying-guide/judge-palmer-2014-blau-vineyard-malbec-knights-valley/
14	13.5%	Oregon, Oregon Other, Oregon, US	750 ml	White	4/1/2018			$19,  Buy Now	Chardonnay	King Estate	Forward and nicely structured, with lime, grapefruit and green-apple flavors, this strikes a perfect balance from start to finish. It's clean, true to variety and annotated with suggestions of wet stone. A great choice for your every-day Chardonnay.	90	15	Paul Gregutt	King Estate 2016 Chardonnay (Oregon)	https://www.winemag.com/buying-guide/king-estate-2016-chardonnay-oregon/
15	13%	Alsace, Alsace, France	750 ml	White	4/1/2018		Kermit Lynch Wine Merchant	$15,  Buy Now	Alsace white blend, White Blend	Kuentz-Bas	The merest touch of honeysuckle plays on the fresh apple nose. The slender palate offers lemon freshness and a pithy texture. The finish is clean and combines ripe pear with vivid lemon.	90	16	Anne Krebiehl MW	Kuentz-Bas 2016 White (Alsace)	https://www.winemag.com/buying-guide/kuentz-bas-2016-white-alsace/
16	13%	Paardeberg, South Africa	750 ml	White	4/1/2018		Indigo Wine Group	$20,  Buy Now	Marsanne	Leeuwenkuil	Aromas of waxy melon, orange rind, pear flesh and white flowers set the stage on the nose of this attractive white. The palate is full yet harmonious, the ripe fruit tones balanced by ample acidity and a lingering note of citrus pith on the close. Drink now–2020.	90	17	Lauren Buzzeo	Leeuwenkuil 2015 Marsanne (Paardeberg)	https://www.winemag.com/buying-guide/leeuwenkuil-2015-marsanne-paardeberg/
17	14%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018	Quercione Riserva	8 Vini, Inc	$35,  Buy Now	Red Blend	Lunadoro	Aromas of baked plum, coconut and vanilla carry over to the medium-bodied palate along with dried black cherry, dark baking spice and star anise. Close-grained tannins leave a firm finish. Drink through 2023.	90	18	Kerin O’Keefe	Lunadoro 2013 Quercione Riserva  (Vino Nobile di Montepulciano)	https://www.winemag.com/buying-guide/lunadoro-2013-quercione-riserva-vino-nobile-di-montepulciano/
18	13%	Valtellina, Lombardy, Italy	750 ml	Red	4/1/2018	Santa Rita	Massanois Imports	$28,  Buy Now	Nebbiolo	Mamete Prevostini	This opens with aromas of raspberry, violet and baking spice that carry over to the bright easygoing palate along with a touch of white pepper. Fresh acidity and velvety tannins provide supple support.	90	19	Kerin O’Keefe	Mamete Prevostini 2015 Santa Rita  (Valtellina)	https://www.winemag.com/buying-guide/mamete-prevostini-2015-santa-rita-valtellina/
19	14%	Maremma Toscana, Tuscany, Italy	750 ml	Red	4/1/2018	Ammiraglia	Shaw-Ross International Importers	$60,  Buy Now	Syrah	Marchesi de' Frescobaldi	Made entirely with Syrah, this opens with aromas of cedar, black currant and a hint of thyme. The juicy palate delivers blackberry jam, tobacco and a touch of truffle alongside fine-grained tannins.	90	20	Kerin O’Keefe	Marchesi de' Frescobaldi 2013 Ammiraglia  (Maremma Toscana)	https://www.winemag.com/buying-guide/marchesi-de-frescobaldi-2013-ammiraglia-maremma-toscana/
20	16.5%	Lodi, Central Valley, California, US	750 ml	Red	4/1/2018	Blue		$39,  Buy Now	Red Blend	Markus Wine Co	Warm spices and rich fruits fill up this plush, flavorful and mouth-filling wine that is 90% Zinfandel. It smells like balsam and cedar and tastes like plums and cardamom while soft tannins make it cushy on the palate yet give just a little bite to keep it appetizing.	90	21	Jim Gordon	Markus Wine Co 2015 Blue Red (Lodi)	https://www.winemag.com/buying-guide/markus-wine-co-2015-blue-red-lodi/
21	12.5%	Alsace, Alsace, France	750 ml	White	4/1/2018	Peau Rouge	Golden Vines	$21,  Buy Now	Sylvaner, Other White	Martin Schaetzel	The nose offers slight hints of lemon and yeast, with a herbal note reminiscent of fern. The slender palate fills out with a savory note and adds white pepper to accentuate a green tinge.	90	22	Anne Krebiehl MW	Martin Schaetzel 2016 Peau Rouge Sylvaner (Alsace)	https://www.winemag.com/buying-guide/martin-schaetzel-2016-peau-rouge-sylvaner-alsace/
