https://www.winemag.com/buying-guide/massolino-2013-parafada-barolo/	Massolino 2013 Parafada  (Barolo)	97	Aromas of new leather, ripe dark berry, vineyard dust and a whiff of smoky flint waft out of the glass along with floral and balsamic notes. The full-bodied palate shows great energy and intensity, delivering juicy Marasca cherry, ripe cranberry, white pepper and clove framed in youthfully assertive, refined tannins and bright acidity. A mineral note wraps up the lingering finish. With time, this will develop even greater complexity. Drink 2023–2053.	Kerin O’Keefe	Price||||$97,  Buy Now	Designation||||Parafada	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Massolino	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Vineyard Brands	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/giuseppe-rinaldi-2013-tre-tine-barolo/	Giuseppe Rinaldi 2013 Tre Tine  (Barolo)	97	Delicately fragrant and incredibly refined, this stunning red boasts alluring scents of blue flower, rose, wild berry and a whiff of new leather. It's captivatingly ethereal and elegantly structured, offering crushed strawberry, red cherry, cinnamon and white pepper. It's also impeccably balanced thanks to firm polished tannins and bright acidity. While it's already extremely tempting, hold for even more complexity. Drink 2023–2043.	Kerin O’Keefe	Price||||$375,  Buy Now	Designation||||Tre Tine	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Giuseppe Rinaldi	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Vinifera Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/grimaldi-bruna-2013-badarina-barolo/	Grimaldi Bruna 2013 Badarina  (Barolo)	97	A balsamic note of menthol, dark culinary spice, crushed herb, new leather and wild berry aromas come together in the glass. Firmly structured but extraordinarily refined, the palate doles out red cherry, crushed strawberry, tobacco and cinnamon set against tightly woven refined tannins. Lively acidity lends balance and energy while a licorice note wraps around the lingering finish. Drink 2025–2043.	Kerin O’Keefe	Price||||$75,  Buy Now	Designation||||Badarina	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Grimaldi Bruna	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Massanois Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/brovia-2013-villero-barolo/	Brovia 2013 Villero  (Barolo)	96	Fragrant and full bodied, this textbook Barolo opens with quintessential Nebbiolo aromas of red cherry, rose petal, new leather, dark spice and a balsamic note of menthol. It's still young and taut but already shows great breeding and class, offering Marasca cherry, cranberry, licorice and clove set against a backbone of assertive but refined tannins and bright acidity. Drink 2025–2043.	Kerin O’Keefe	Price||||$96,  Buy Now	Designation||||Villero	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Brovia	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Rosenthal Wine Merchant	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/schiavenza-2013-prapo-barolo/	Schiavenza 2013 Prapò  (Barolo)	96	Underbrush, saddle leather, dark berry and culinary spice aromas slowly unfold in the glass. Succulent and full bodied, the firmly structured palate delivers raspberry compote, ripe Marasca cherry, baking spice and pipe tobacco framed in youthfully assertive but noble tannins and bright acidity. A savory mineral note lingers on the finish. This is one for the long haul. Drink 2025–2053.	Kerin O’Keefe	Price||||$70,  Buy Now	Designation||||Prapò	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Schiavenza	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||David Bowler Wine	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/ceretto-2013-prapo-barolo/	Ceretto 2013 Prapò  (Barolo)	96	Lifted aromas of crushed mint, menthol, underbrush and crushed berry are front and center on this impressive wine. It's still young but already shows impeccable pedigree, delivering raspberry compote, juicy Marasca cherry, licorice and clove while assertive but refined tannins and fresh acidity provide balance and an age-worthy structure. Drink 2025–2038.	Kerin O’Keefe	Price||||$130,  Buy Now	Designation||||Prapò	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Ceretto	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Leonardo LoCascio Selections–The Winebow Group	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/cavallotto-2011-bricco-boschis-vigna-san-giuseppe-riserva-barolo/	Cavallotto 2011 Bricco Boschis Vigna San Giuseppe Riserva  (Barolo)	96	New leather, tilled earth, dark spice, underbrush and a balsamic note mingle together on this compelling red. The full-bodied palate evokes ripe black cherry, licorice, tobacco and crushed herb while youthfully assertive noble tannins provide the framework. Hold for even more complexity. Drink 2023–2036.	Kerin O’Keefe	Price||||$135,  Buy Now	Designation||||Bricco Boschis Vigna San Giuseppe Riserva	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Cavallotto	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Oliver McCrum Wines	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/comm-g-b-burlotto-2013-acclivi-barolo/	Comm. G. B. Burlotto 2013 Acclivi  (Barolo)	96	Underbrush, wild berry, dark culinary spice, chopped herb and tilled earth are just some of the aromas you'll discover on this gorgeous wine. Impeccably balanced and loaded with finesse, the palate delivers wild raspberry, red cherry, clove, ground white pepper and licorice while radiant acidity and youthfully austere noble tannins provide structure. It already boasts impressive depth but it still needs to fully develop. A gorgeous wine. Drink 2025–2043.	Kerin O’Keefe	Price||||$60,  Buy Now	Designation||||Acclivi	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Comm. G. B. Burlotto	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Bacchanal Wine Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/cavallotto-2013-bricco-boschis-barolo/	Cavallotto 2013 Bricco Boschis  (Barolo)	96	New leather, menthol, woodland berry, dark spice and a whiff of pressed rose petal are just some of the scents you'll find on this radiant red. Vibrant and loaded with finesse, the structured palate delivers juicy Maraca cherry, cranberry, white pepper, star anise and a hint of pipe tobacco while youthfully taut noble tannins and firm acidity provide an age-worthy framework. It's already stunning but needs time to develop to its full potential. Drink 2023–2043.	Kerin O’Keefe	Price||||$90,  Buy Now	Designation||||Bricco Boschis	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Cavallotto	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Oliver McCrum Wines	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/massolino-2013-parussi-barolo/	Massolino 2013 Parussi  (Barolo)	96	Firmly structured and loaded with energy, this intense red opens with aromas of new leather, pipe tobacco, eucalyptus and a whiff of cake spice. The aromas carry over to the vibrant palate along with raspberry and cherry set against a firm backbone of assertive but refined tannins. Tightly wound and youthfully austere, it still needs time but seems destined to blossom into a beauty. Drink 2025–2043.	Kerin O’Keefe	Price||||$97,  Buy Now	Designation||||Parussi	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Massolino	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Vineyard Brands	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/schloss-gobelsburg-2015-eiswein-gruner-veltliner-niederosterreich/	Schloss Gobelsburg 2015 Eiswein Grüner Veltliner (Niederösterreich)	96	A cloud of otherworldly flavors enters the brain: candied pineapple, vanilla, candied peach, caramel, Mirabelle and a touch of honey. The palate presents viscous sweetness, pierced by fresh acidity that explodes completely. This is a pure, rich and aromatic Eiswein of Austria's flagship variety. Delicious now, it should cellar well through at least 2040.	Anne Krebiehl MW	Price||||$45,  Buy Now	Designation||||Eiswein	Variety||||Grüner Veltliner	Appellation||||Niederösterreich, Austria	Winery||||Schloss Gobelsburg	Alcohol||||7.5%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Skurnik Wines, Inc	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/alvear-nv-solera-1927-pedro-ximenez-montilla-moriles-249080/	Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles)	96	One of the world's best PX wines is Solera 1927, the pride of Alvear. Whatever solera stocks went into this bottling were well selected. Aromas of maple and fine wood turn to fig and caramel. Saturation and weight on the palate are expected, but this has some (though not a lot) acidic cut. Deep flavors of fig and Nutella finish with nuttiness and warmth. Drink or hold.	Michael Schachner	Price||||$30,  Buy Now	Designation||||Solera 1927	Variety||||Pedro Ximénez, Sherry	Appellation||||Montilla-Moriles, Andalucia, Spain	Winery||||Alvear	Alcohol||||16%	Bottle Size||||375 ml	Category||||Port/Sherry	Importer||||Jorge Ordóñez Selections	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/massolino-2013-margheria-barolo/	Massolino 2013 Margheria  (Barolo)	96	Forest berry, new leather, camphor and crushed herb aromas lead into the radiant structured palate along with cherry, cranberry, clove and white pepper. This is still tightly knit with a youthfully tannic core but it's on track to bloom into a stunner. Drink 2028–2043.	Kerin O’Keefe	Price||||$97,  Buy Now	Designation||||Margheria	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Massolino	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Vineyard Brands	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/salomon-undhof-2009-bienenfeld-beerenauslese-riesling-niederosterreich/	Salomon-Undhof 2009 Bienenfeld Beerenauslese Riesling (Niederösterreich)	96	Golden liquid, a piercing nose, utter musk: these are the first impressions of this fragrant, botrytised win. A topnote of candied lemon hovers above the core flavor of beeswax, while bright, juicily luscious acidity makes the mouth water. This is a concentrated high-wire act, dancing between bundled sweetness and the piercing, enlivening freshness of Riesling acidity. Nothing is cloying; everything bathes in the freshness of the balancing acidity that sharpens the flavors. It's gorgous now, but will last well through 2040.	Anne Krebiehl MW	Price||||$38,  Buy Now	Designation||||Bienenfeld Beerenauslese	Variety||||Riesling	Appellation||||Niederösterreich, Austria	Winery||||Salomon-Undhof	Alcohol||||12%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Fruit of the Vines, Inc	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/aldo-conterno-2013-bussia-cicala-barolo/	Aldo Conterno 2013 Bussia Cicala  (Barolo)	96	Aromas of dark berry, iris, menthol and a whiff of oak emerge on this vibrant wine. Firmly structured but loaded with finesse, the palate delivers ripe Marasca cherry, crushed black raspberry, vanilla, savory mineral and thyme alongside fine-grained tannins. A licorice note wraps around the tight finish. This is still primary so be sure to give it time to fully develop. Drink 2025–2045.	Kerin O’Keefe	Price||||$150,  Buy Now	Designation||||Bussia Cicala	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Aldo Conterno	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Massanois Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/heidi-schrock-2014-ruster-ausbruch-turner-white-burgenland/	Heidi Schröck 2014 Ruster Ausbruch Turner White (Burgenland)	96	On the nose, a blast of beeswax and honey provides heady lift. The palate is tooth-breakingly sweet but comes with that honeyed, candied-citrus thrill. Sufficient bright acidity counters all the richness. The mouthfeel is full, oily and viscous, always with that honeycomb and beeswax note, not quite tipping into the savoriness of maple syrup. Despite all the decadent sweetness, the finish is still lip-smacking, clean and endless.	Anne Krebiehl MW	Price||||$160,  Buy Now	Designation||||Ruster Ausbruch Turner	Variety||||White Blend	Appellation||||Burgenland, Austria	Winery||||Heidi Schröck	Alcohol||||11%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Skurnik Wines, Inc	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/kracher-2013-nouvelle-vague-grande-cuvee-trockenbeerenauslese-no-6-white-burgenland/	Kracher 2013 Nouvelle Vague Grande Cuvée Trockenbeerenauslese No. 6 White (Burgenland)	96	Candied lemon, beeswax and honey are wrapped in the sumptuous embrace of vanilla. Topnotes of passion fruit and nettle appear too, while the palate is conquered by the all-encompassing concentration of this TBA. The precise flavors have a bright, etched citrus frame that shapes and balances the sweetness. Apricot, bergamot, apple and passion fruit all make an appearance. Aromatically, the length goes on and on. It's delicious now, but should hold well through 2040, at least.	Anne Krebiehl MW	Price||||$120,  Buy Now	Designation||||Nouvelle Vague Grande Cuvée Trockenbeerenauslese No. 6	Variety||||Austrian white blend, White Blend	Appellation||||Burgenland, Austria	Winery||||Kracher	Alcohol||||10%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Terlato Wines International	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/fel-2014-ferrington-vineyard-pinot-noir-anderson-valley/	FEL 2014 Ferrington Vineyard Pinot Noir (Anderson Valley)	95	Power and grace come together in this deceptively concentrated, full-bodied, complex, sophisticated and age-worthy wine. A light hand on the new-oak nuances allows the pure, focused fruit flavors to course through on the palate and linger on the finish. It will be best after 2020.	Jim Gordon	Price||||$65,  Buy Now	Designation||||Ferrington Vineyard	Variety||||Pinot Noir	Appellation||||Anderson Valley, California, US	Winery||||FEL	Alcohol||||14.3%	Bottle Size||||750 ml	Category||||Red	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/jalits-2013-diabas-reserve-blaufrankisch-eisenberg/	Jalits 2013 Diabas Reserve Blaufränkisch (Eisenberg)	95	Dark red and black-cherry fruit is clothed in the sumptuous perfume of almost-floral new oak. Toasty oak notes also appear on the fluid and compact body. Juicy black cherry fruit at the core is edged with bright freshness. A touch of white pepper can be glimpsed through the fruit. The structure shows fine tannins, still crunching like starched velvet but beginning to yield. If you like the crunch, drink this wine now, if you like evolution, it will reward patience. The core of brilliant cherry and bluebery fruit promises to continue shining. Drink now–2030.	Anne Krebiehl MW	Price||||$55,  Buy Now	Designation||||Diabas Reserve	Variety||||Blaufränkisch, Other Red	Appellation||||Eisenberg, Austria	Winery||||Jalits	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||KWSelection.com	Date Published||||9/1/2017	
